NM_001037698	1606	1406	83.636770968509	0.93
NM_198980	1454	1007	32.7164597604034	0.82
NR_144413	1393	113	12.514910685701	0.8
NM_001044882	1306	596	28.2946030161462	0.85
NM_001039497	1208	1170	148.791210624688	0.94
NM_201157	2369	1441	27.9392713038969	0.76
NM_001080640	1053	672	36.0270479583969	0.87
NM_200296	1493	1365	52.9437840568234	0.87
NM_153668	1528	870	29.921993699855	0.84
NM_001128382	2186	72	12.8694105993758	0.83
NM_001331068	4011	3198	66.400725520543	0.93
NM_001003603	2076	959	28.8028959731928	0.89
NM_001346276	702	61	17.6982092780676	0.82
NM_001002874	891	804	52.9199555420998	0.88
NM_001024811	2812	1557	31.3236344578971	0.85
NM_001080013	3619	2949	55.5832162025651	0.92
NM_001145786	3154	3097	88.3825025445031	0.91
NM_001003562	2503	1828	36.1022765974358	0.87
NM_200196	2157	308	15.6736438663823	0.87
NM_212707	2047	1033	30.3147646015071	0.83
NM_001007055	1328	1324	230.257737421486	0.95
NM_200065	3086	3080	178.879590600475	0.96
NM_001128686	580	519	64.4827963631577	0.89
NM_001007409	1741	1722	81.9746768408994	0.9
NM_200931	1739	52	13.8294746042825	0.84
NM_200161	1795	1774	127.875468848187	0.93
NM_001077285	1662	1638	135.735356810955	0.92
NM_001003487	1165	633	33.2500601346398	0.85
NM_001030124	2799	1878	38.8050295389285	0.87
NM_199617	2065	1383	33.3633645373996	0.86
NM_001039930	1693	93	14.9501944005603	0.49
NM_200860	1037	1024	124.664462355534	0.92
NM_212999	3378	489	15.4464384975204	0.76
NM_001007392	1152	1139	66.6675629967641	0.89
NM_212589	1828	1822	156.727171791774	0.95
NM_001030213	2545	2394	52.1851988734018	0.87
NM_207050	2780	2063	40.2448201169225	0.85
NM_173263	1471	1465	219.128896408175	0.96
NM_001003490	1192	796	32.9995047631228	0.83
NM_001044350	1597	468	13.4091284443267	0.82
NM_001020636	1975	1676	61.9078723014987	0.91
NM_001109845	516	222	24.8073292953499	0.79
NM_131855	3528	2595	44.0141615160366	0.88
NM_001020682	627	55	15.8957795791924	0.86
NM_001020621	1968	599	21.3313992846663	0.84
NM_199993	1443	1422	185.234882806944	0.94
NM_001020599	1824	214	13.7820247900755	0.82
NM_001025523	1047	10	13.0740398245349	0.85
NM_201206	1584	919	38.3845849657728	0.91
NM_001077790	648	35	13.9621790334936	0.89
NM_001130602	546	222	21.1076012076227	0.83
NM_198365	1632	1614	75.5512956024409	0.91
NM_173270	1767	645	23.8299046408616	0.83
NM_001291706	1237	290	15.9893731459408	0.77
NM_001001951	2140	179	12.1174794147173	0.75
NM_200046	629	459	361.662693929789	0.95
NM_131345	3453	3402	93.3019382606844	0.93
NM_001024403	693	664	177.63148852212	0.95
NM_001159820	1078	891	40.3905541226624	0.85
NM_214815	3914	2603	33.0375461575607	0.84
NM_001077615	2174	462	18.6200723665433	0.78
NM_001025470	1776	1343	41.3819209526724	0.86
NM_001002495	436	395	147.361378401839	0.96
NM_001003536	1549	1182	36.4813884102026	0.86
NM_001256665	1213	1089	58.7489740918395	0.89
NM_001278180	2862	396	17.6523614780782	0.87
NM_001004601	3178	3159	481.297577055081	0.97
NM_001008649	1364	533	23.451196421524	0.77
NM_201205	2163	538	18.2077929148105	0.91
NM_001002519	1060	1049	113.936472934204	0.93
NM_213188	2624	2618	490.062521995698	0.98
NM_001130597	765	757	207.29192950408	0.94
NM_001166155	1547	857	31.6712358900893	0.84
NM_001089369	1679	435	19.1034522870933	0.73
NM_001013465	856	74	18.8537293044702	0.77
NM_200909	1951	34	20.5720854405657	1
NM_131465	3026	312	15.2423983212676	0.97
NM_001004572	1573	317	19.847386744752	0.78
NM_001160334	672	612	40.7726235820981	0.86
NM_001002098	1165	423	23.2131798663097	0.84
NM_001003575	2482	2080	40.115648498164	0.85
NM_001007403	2986	1495	32.0718203217503	0.87
NM_200166	1117	757	27.0633017046164	0.8
NM_001256683	1731	127	15.0909807164271	0.82
NM_001020472	2034	1965	88.2139887781207	0.94
NM_212945	1249	1181	83.7593821360338	0.91
NM_001002355	2291	863	24.3515617034098	0.82
NM_001007328	1527	76	12.3813093576412	0.85
NM_001003475	1425	470	20.7479870729798	0.79
NM_001098389	1364	1055	37.8494544127117	0.84
NM_001076755	1410	1399	63.0809952421134	0.88
NM_001033745	1738	631	25.0638554997206	0.84
NM_001044837	835	523	48.0112400119517	0.92
NM_001003860	687	687	419.428449407944	0.96
NM_200115	1931	1745	129.849560284832	0.93
NM_212630	2077	2067	297.173865687877	0.97
NM_200853	1086	1007	57.8035023603635	0.88
NM_001002194	1229	173	18.4601874302357	0.77
NM_001083563	2680	1832	35.8768786318618	0.84
NM_199785	3210	2411	37.6785221038902	0.85
NM_212776	2177	1103	26.6697540571189	0.82
NM_001327769	4458	537	13.883659794457	0.77
NM_205672	2558	447	13.7902885792078	0.83
NM_001310037	1910	891	25.9720282215483	0.83
NM_001326371	922	255	22.3953328091913	0.79
NM_212665	2585	2187	54.3484760802724	0.89
NM_213102	1418	487	24.0476951748431	0.88
NM_001013460	1182	983	102.714630360323	0.94
NM_001007438	2155	2122	54.530240810242	0.86
NM_001199907	1764	1566	51.8771132439315	0.88
NM_001082841	2037	1974	58.7468222860165	0.9
NM_200023	654	633	94.3879184081469	0.92
NM_001080084	2855	1780	39.7871465037524	0.88
NM_001076629	1060	1036	92.7340255869379	0.91
NM_001110281	1286	774	36.9300774305654	0.85
NM_200428	1622	1581	56.5969763049786	0.88
NM_213375	2136	1837	49.6785302642971	0.88
NM_001309383	1906	1818	188.757996607447	0.95
NM_199518	2000	1312	160.388933359355	0.96
NM_001089439	1279	0	12.0933773636207	n/a
NM_001077730	2054	1987	83.8867849853282	0.92
NM_001044970	4094	1857	40.9154310187063	0.94
NM_194402	2117	203	16.4865097401235	0.73
NM_200587	4087	1703	32.3075859514054	0.92
NM_001353848	2062	1793	47.0567504649905	0.85
