chr1	12629	12663	-	chr1	183014	183032	-	6	1
chr1	12672	12711	-	chr1	183159	183183	-	7	1
chr1	13408	13428	-	chr1	13680	13713	-	15	1
chr1	14229	14261	-	chr1	14298	14315	-	17	1
chr1	14420	14453	-	chr1	14641	14656	-	18	1
chr1	14667	14692	-	chr1	14965	14998	-	34	1
chr1	14787	14815	-	chr1	184983	185018	-	46	1
chr1	14998	15026	-	chr1	15174	15195	-	54	1
chr1	15017	15033	-	chr1	16122	16167	-	59	1
chr1	15017	15033	-	chr1	186644	186689	-	60	1
chr1	15152	15173	-	chr1	185646	185665	-	61	1
chr1	15315	15331	-	chr1	15332	15358	-	66	1
chr1	15488	15519	-	chr1	185936	185966	-	74;75	2
chr1	15817	15843	-	chr1	185491	185528	-	10015064	1
chr1	16170	16208	-	chr1	16249	16272	-	95	1
chr1	16679	16710	-	chr1	17306	17327	-	110;111	2
chr1	16898	16938	-	chr1	17989	18005	-	119;121	2
chr1	16898	16938	-	chr1	188512	188528	-	120;122	2
chr1	16926	16954	-	chr1	16974	16996	-	131	1
chr1	16955	16972	-	chr1	24859	24884	-	134	1
chr1	16955	16972	-	chr1	195384	195409	-	133	1
chr1	16977	16994	-	chr1	187475	187500	-	140;141	2
chr1	17034	17070	-	chr1	17335	17358	-	146;147	2
chr1	17374	17401	-	chr1	17403	17430	-	160	1
chr1	17921	17936	-	chr1	186435	186482	-	181	1
chr1	17946	17973	-	chr1	185110	185130	-	183	1
chr1	17977	18012	-	chr1	29580	29607	-	189	1
chr1	17977	18012	-	chr1	200096	200123	-	190	1
chr1	18006	18023	-	chr1	188486	188525	-	195	1
chr1	18032	18062	-	chr1	29321	29343	-	197	1
chr1	18032	18062	-	chr1	199837	199859	-	198	1
chr1	18222	18249	-	chr1	19080	19097	-	204	1
chr1	18328	18351	-	chr1	188829	188842	-	208;209;210	3
chr1	18491	18516	-	chr1	18525	18543	-	216	1
chr1	18636	18652	-	chr1	189101	189151	-	225	1
chr1	18898	18915	-	chr1	18941	18964	-	237	1
chr1	19024	19047	-	chr1	189523	189538	-	246	1
chr1	19189	19209	-	chr1	19279	19303	-	253	1
chr1	19189	19210	-	chr1	19366	19392	-	254	1
chr1	19638	19660	-	chr1	190050	190070	-	271	1
chr1	19640	19667	-	chr1	190110	190126	-	273;274	2
chr1	19864	19887	-	chr1	190327	190359	-	281	1
chr1	19891	19906	-	chr1	19911	19948	-	283	1
