#transcript	length	unique_read_num	multiple_read_num
NM_131263	1753	5112	1765912
NM_213168	2419	2087	1010966
NM_001281721	1433	873	493186
NM_001040321	1659	3720	542938
NM_212996	717	860	212268
NM_001126457	1515	2447	406086
NM_001110403	2335	2303	570606
NM_181601	1767	1165	417052
NM_001037424	1074	1258	249118
NM_001008615	943	723	215030
NM_131098	1330	2798	300566
NM_001309644	1435	876	321042
NM_130925	1985	7095	432160
NM_131509	2480	1117	506154
NM_001243178	360	260	71012
ENSDART00000163316	7477	7847	1407104
NM_001098730	1026	1569	185194
NM_173247	1264	535	225840
NM_213302	1639	1102	290048
NM_001017797	1307	4194	226724
NM_131031	1672	791	289318
NM_198140	1041	635	171418
NM_131585	1058	763	173624
NM_200026	515	578	83564
NM_201584	658	598	105656
NM_200080	2167	934	348652
NM_213223	1558	569	249560
NM_001002078	399	176	63054
NM_213113	524	333	82068
NM_212758	782	528	121436
NM_212953	298	155	45962
NM_200029	495	221	75588
NM_200458	2810	1058	418932
NM_200732	483	261	71496
NM_212587	1840	1685	259040
NM_200815	451	206	63358
NM_001002486	304	262	42204
NM_212584	1391	600	191002
NM_214793	694	402	94718
NM_178437	1742	960	236740
NM_200046	629	286	85300
NM_200104	1558	3355	205944
NM_213277	2437	960	316486
NM_001100436	441	144	56980
NM_212762	435	280	56050
NM_001002069	344	229	43320
NM_001040043	498	177	62546
NM_200752	630	484	78760
NM_001001593	537	237	67072
NM_200845	453	212	56518
NM_001002866	472	247	58774
NM_001002139	610	160	73820
NM_001002378	887	482	105888
NM_213279	889	370	105004
NM_131580	1081	474	127400
NM_200047	832	318	97982
NM_173234	483	312	56704
NM_200750	463	243	53086
NM_001004674	895	367	102098
NM_212603	1499	1635	167794
NM_001130192	3149	774	353252
NM_201101	887	395	98718
NM_199428	1597	747	175560
NM_001291886	784	497	85310
NM_131310	2699	1073	291260
NM_213204	482	2030	50030
NM_213034	513	216	55048
NM_001002079	503	191	53708
NM_001105526	393	241	41192
NM_001031676	2397	3127	246666
NM_001305588	928	332	96230
ENSDART00000178816	1019	1199	104700
NM_131156	2379	861	245618
NM_198143	657	1292	66746
NM_001003432	636	178	65610
NM_173235	635	218	64912
NM_173233	520	211	52646
NM_200502	613	310	61888
NM_201061	504	147	50680
NM_201217	2259	2152	217064
NM_201060	620	281	59850
NM_201052	1066	240	103016
NM_200028	466	590	43908
NM_199724	483	153	45854
NM_001002155	566	176	53244
NM_201153	832	274	77812
NM_213024	785	312	70834
NM_001003844	919	228	83030
NM_212784	763	446	68548
NM_001002106	1038	237	93002
NM_001130697	679	282	60362
NM_200303	785	1300	68506
NM_001105108	1254	617	110098
NM_001002487	411	488	35578
NM_001005589	851	268	73878
NM_200867	1249	1038	107768
NM_001309525	2542	1557	219452
NM_200027	727	350	62574
NM_214714	2273	612	195284
NM_213641	1708	604	146544
NM_200852	722	500	61638
NM_131444	1040	926	87644
NM_213336	1459	955	123124
NM_131335	1226	153	102720
NM_201191	379	172	31380
NM_153644	800	207	66294
NM_194367	1521	625	125586
NM_001076652	2835	1002	234150
NM_213377	570	235	46610
NM_131309	1418	412	115866
NM_001319650	804	224	65590
NM_001001590	1354	1264	107574
ENSDART00000177307	3533	22216	259782
NM_213124	1505	212	118600
NM_200742	412	188	32314
NM_212952	393	199	30546
NM_131025	4186	617	326006
NM_001003447	678	337	52558
NM_001001819	490	190	38026
NM_001076732	519	153	40128
NM_201146	561	150	43180
NM_200713	813	282	62362
NM_198817	3168	1606	241950
NM_001159528	565	208	42848
NM_200765	520	228	39304
NM_201122	430	760	31600
NM_213644	826	162	61642
NM_199636	728	693	53668
NM_214696	2658	3237	194568
NM_213107	1258	981	92592
NM_173232	700	186	51648
NM_201468	1862	526	133528
NM_001043323	817	1296	57144
NM_001003728	818	210	57638
NM_001045488	538	523	37336
NM_213317	2315	1412	157622
NM_001110121	508	126	34634
NM_001002677	1296	462	88070
NM_205667	963	247	63504
NM_131883	2454	1959	160272
NM_001044324	3798	1632	248048
NM_200030	265	5343	12036
NM_001033107	2124	826	135992
NM_001009889	2617	841	164938
NM_001037113	490	139	30890
NM_001202510	960	192	60166
NM_213015	1944	4479	116462
NM_199986	1703	891	104092
NM_131069	2357	289	142594
NM_001002527	968	265	58158
NM_001013345	888	175	52496
NM_201475	1685	3509	95906
NM_200059	1469	260	86404
NM_001003861	634	6076	31248
NM_201323	1231	409	71254
NM_001015060	2812	377	158062
NM_001079973	1842	664	101560
ENSDART00000173071	931	6246	45416
NM_200025	417	97	22932
NM_199481	1939	267	106752
NM_001004601	3178	1066	172996
NM_183074	1023	194	55426
NM_001013455	473	145	25372
NM_001080033	1298	221	69032
NM_198366	2668	993	141298
NM_213208	687	150	36224
NM_212977	1620	173	85264
NM_199749	1558	449	81084
NM_199708	2037	586	105800
NM_131404	1466	232	76088
NM_173251	890	96	46152
NM_001002499	530	82	27394
NM_001128697	1112	307	57298
NM_200881	1996	512	102122
NM_001002068	805	305	40840
NM_001037677	453	259	22882
NM_001004639	1410	420	71034
NM_131176	1454	336	72786
NM_212675	1290	877	63384
NM_212630	2077	998	102032
NM_212833	990	464	48602
NM_173236	2213	502	107576
NM_213092	1589	242	76986
NM_001002383	1485	423	71322
NM_130926	621	160	29478
