#transcript	length	unique_read_num	multiple_read_num
NM_131263	1753	1369054	4
NM_213168	2419	1005834	10
NM_001281721	1433	571082	12
NM_212996	717	258694	4
NM_001040321	1659	455742	8
NM_001110403	2335	484829	2
NM_001037424	1074	220932	2
NM_130925	1985	405279	6
NM_001126457	1515	301010	16
NM_181601	1767	347137	10
NM_001008615	943	185171	10
NM_212584	1391	262335	8
NM_213302	1639	293142	24
NM_200080	2167	355006	20
NM_131098	1330	216502	4
NM_212587	1840	296415	8
NM_213223	1558	246982	8
NM_001017797	1307	198926	14
NM_001309644	1435	210107	14
NM_131031	1672	240269	6
NM_178437	1742	245029	2
NM_131509	2480	303735	20
NM_173247	1264	151262	0
NM_198140	1041	123205	18
NM_200104	1558	182485	12
NM_001076652	2835	326389	14
NM_201101	887	100107	10
NM_200458	2810	310456	10
NM_199428	1597	176096	18
NM_212603	1499	157981	22
NM_001098730	1026	104916	10
NM_213277	2437	236661	22
NM_212758	782	71189	16
NM_001043323	817	73827	28
NM_131156	2379	208344	16
NM_131069	2357	205411	10
NM_001105108	1254	107463	18
NM_131585	1058	90139	8
NM_194367	1521	129479	18
NM_131310	2699	228054	26
NM_001004674	895	73508	12
NM_001077804	1835	147042	8
NM_001130192	3149	250352	30
NM_201584	658	50336	14
NM_001309525	2542	187177	24
NM_201468	1862	136716	24
NM_205667	963	69163	8
NM_201475	1685	120270	16
NM_001005967	904	63776	14
NM_200026	515	35252	6
NM_212977	1620	109974	16
NM_001045488	538	35687	10
NM_200047	832	54804	16
NM_131404	1466	94486	28
NM_213317	2315	146810	92
NM_001031676	2397	150743	22
NM_214696	2658	165806	24
NM_131309	1418	87887	30
NM_131883	2454	150240	20
NM_213236	1566	95047	24
NM_001040043	498	30130	12
NM_001017593	1279	77343	16
NM_200752	630	37759	20
NM_200852	722	43213	26
NM_001033595	4350	255522	54
NM_200732	483	28331	16
NM_131112	2386	137854	26
NM_131059	3350	193084	34
NM_213641	1708	97517	44
NM_213377	570	32359	26
NM_200029	495	27636	16
NM_212630	2077	115010	8
NM_001001593	537	28823	16
NM_131444	1040	55332	22
NM_213124	1505	80059	34
NM_001079973	1842	97595	38
NM_200815	451	23679	16
NM_213092	1589	83123	14
NM_131335	1226	63952	22
