#transcript	length	unique_read_num	multiple_read_num
NM_001353934	559	258	75262
NM_180964	755	228	83984
NM_183071	1312	392	145462
NM_213336	1459	285	144850
NM_180965	852	452	80760
NM_200086	1012	411	93638
NM_199782	2184	1679	196812
NM_213439	1234	282	109434
NM_131263	1753	438	154570
NM_001281721	1433	349	111860
ENSDART00000165480	521	361	39480
NM_201584	658	125	48128
NM_001110403	2335	634	169982
NM_200303	785	1078	55686
NM_213302	1639	626	115638
NM_213180	1506	226	105304
NM_214773	1667	325	111940
NM_200298	785	236	51324
NM_130926	621	194	40312
NM_131585	1058	333	68550
NM_001024409	1233	151	78374
NM_212758	782	173	47942
NM_181601	1767	247	107044
NM_153644	800	203	47540
NM_001327928	826	107	47894
NM_200458	2810	398	156902
NM_001243178	360	55	19922
NM_173247	1264	178	69150
NM_213058	2340	207	123044
NM_001105108	1254	250	61026
NM_212818	1632	475	79108
NM_212909	1162	344	56090
NM_130939	1435	506	68800
NM_200026	515	70	23396
NM_200845	453	81	20548
NM_213092	1589	202	71218
NM_213641	1708	306	75046
NM_001313770	853	122	37414
NM_200732	483	97	21102
NM_001037424	1074	172	46634
NM_001017593	1279	2768	52724
NM_201318	1400	470	59750
NM_001126457	1515	410	62978
NM_001309644	1435	182	58986
NM_198121	1234	122	50480
NM_001031676	2397	1017	96924
NM_001017797	1307	842	51912
NM_212584	1391	152	55982
NM_212833	990	479	38564
NM_212996	717	110	28112
NM_200008	762	112	29304
NM_001089351	631	552	23644
NM_001002106	1038	111	39342
NM_199430	1480	392	54712
NM_001076652	2835	378	105108
NM_173224	998	124	36986
NM_201477	1088	166	39982
NM_200034	781	397	28376
NM_001003432	636	74	23132
NM_001013265	1080	1259	37752
NM_214696	2658	996	93326
NM_173222	1437	159	50744
NM_001002068	805	310	28150
NM_205613	901	215	31592
NM_001128336	1845	324	64778
NM_130948	1240	319	43204
NM_199823	1848	732	63634
NM_131310	2699	235	93130
NM_001003869	1684	188	57866
NM_001040321	1659	584	55764
NM_001089544	1215	74	40802
NM_201101	887	128	29392
NM_131444	1040	418	33920
NM_131513	1495	375	48926
NM_173235	635	69	20784
NM_001100070	893	49	29246
NM_001040043	498	64	16266
NM_213364	2853	274	93102
NM_001004674	895	104	28724
NM_198140	1041	114	33180
NM_001002677	1296	301	40994
NM_001002139	610	52	19066
NM_001013533	2369	449	73606
NM_001009889	2617	362	81440
NM_213019	1049	82	32372
NM_001002078	399	23	12310
NM_001098392	1870	503	56948
NM_001256780	2608	244	79790
NM_001033107	2124	307	64572
NM_212708	2973	599	89992
NM_173234	483	101	14534
NM_001001399	1042	66	31500
NM_212932	1336	388	39834
NM_213168	2419	230	72554
NM_199481	1939	171	57986
NM_200104	1558	1581	45132
NM_001002486	304	38	9016
ENSDART00000153433	194	124	5570
NM_200815	451	39	13178
NM_200852	722	54	21098
NM_200171	1702	118	49454
NM_131883	2454	893	70356
NM_200046	629	49	17904
NM_213204	482	624	13066
NM_001098730	1026	205	28854
NM_200949	1869	203	52688
NM_199535	768	70	21428
NM_198809	1593	87	44424
NM_001077535	2030	277	55268
NM_213178	1954	282	53110
NM_199949	1010	73	27306
NM_213028	696	44	18252
NM_199546	1638	234	42682
NM_212587	1840	307	47670
NM_001002527	968	91	25130
NM_130925	1985	3513	48204
NM_001002081	568	57	14700
NM_200752	630	59	16294
NM_201336	2817	255	72606
NM_001003844	919	42	23334
NM_212675	1290	661	32112
NM_001161599	1896	951	46806
NM_001123007	734	78	18388
NM_213124	1505	126	37694
NM_213034	513	32	12778
NM_001044959	1736	149	42470
NM_201060	620	48	15142
NM_201217	2259	269	54880
NM_001001593	537	30	12958
NM_001145359	1212	75	29154
NM_152949	1899	392	45322
NM_205667	963	89	23032
NM_199428	1597	166	38136
NM_131047	1625	350	38258
NM_001004652	514	50	12126
NM_001201442	683	37	16000
NM_213493	1980	485	45784
NM_214714	2273	174	52906
NM_001017769	1380	133	32054
NM_200047	832	55	19346
NM_197937	499	833	10640
NM_001130192	3149	239	72162
NM_201513	1945	153	44274
NM_001079973	1842	182	41860
NM_213013	986	56	22446
NM_213113	524	39	11872
NM_001044324	3798	573	85728
NM_001002866	472	31	10650
NM_201065	1326	403	29468
NM_001077355	1851	99	41236
NM_001256190	1048	155	23230
NM_001100436	441	23	9810
NM_201061	504	26	11178
NM_145195	489	272	10592
NM_131031	1672	114	36982
NM_213638	1000	94	22042
NM_001003890	2344	430	51422
NM_001105526	393	33	8610
NM_131734	904	66	19800
NM_212953	298	16	6508
NM_001001590	1354	78	29528
NM_199548	1566	126	34070
NM_001006022	1281	308	26962
NM_001017574	1635	141	34558
NM_131247	1497	740	30802
NM_001045388	833	43	17464
NM_199925	1383	192	28530
NM_131702	2559	171	52734
NM_200771	1335	123	27416
NM_001077804	1835	133	37696
NM_213334	944	84	19326
NM_213317	2315	1117	46334
NM_130995	2082	226	42272
NM_213148	1200	101	24324
NM_198143	657	265	13070
NM_131309	1418	119	28640
NM_001326706	1360	423	27140
NM_200750	463	58	9314
NM_001045402	900	1395	16756
NM_214793	694	49	13914
NM_212977	1620	111	32460
NM_213293	1692	798	33188
NM_130922	2069	157	41218
NM_199569	1523	148	30176
NM_201214	1758	228	34764
NM_199708	2037	318	40188
NM_001320404	2510	516	49352
NM_001002069	344	56	6710
NM_212709	1904	159	37028
NM_213351	1541	104	29946
NM_213079	1728	303	33374
NM_201192	2166	144	41842
NM_200961	1367	210	26276
NM_001003548	978	99	18836
NM_199983	2598	129	50082
NM_001040375	927	180	17710
NM_001199720	2183	389	41702
NM_213188	2624	231	50144
NM_212937	1764	432	33368
NM_205562	1110	115	21148
NM_001309531	1197	212	22614
NM_001002079	503	47	9540
NM_199888	2218	200	42068
NM_130941	4366	407	82778
NM_001003414	1644	338	30640
NM_131294	747	68	13998
NM_173251	890	53	16626
NM_001080176	1395	85	25880
NM_001045349	1628	89	30140
NM_201468	1862	139	34356
NM_131176	1454	102	26700
NM_001002378	887	62	16286
NM_199956	2049	175	37464
NM_200056	904	69	16532
NM_001256193	1325	74	24136
NM_213464	2597	237	47194
NM_001110126	1521	61	27698
NM_213377	570	42	10336
NM_131404	1466	75	26584
NM_001327745	2576	391	46228
NM_213466	1532	129	27564
NM_200502	613	38	10964
NM_001327845	953	66	17038
NM_199771	1782	165	31746
NM_214723	1488	72	26546
NM_001002203	755	174	13322
NM_001044754	1503	187	26618
ENSDART00000176179	244	4346	4
NM_001126422	735	1143	11952
NM_001017896	893	63	15798
ENSDART00000168114	301	31	5286
NM_212603	1499	257	26026
NM_194398	1339	83	23384
NM_200650	2313	393	39762
NM_200765	520	113	8878
NM_001013536	1099	67	18834
NM_212784	763	35	13042
NM_001115095	3041	161	51890
NM_199275	1743	94	29716
NM_001288658	2035	102	34634
NM_001002160	1522	137	25774
NM_205673	1403	135	23746
NM_131189	4935	180	83810
NM_213479	1687	164	28496
NM_198366	2668	386	44832
NM_213182	1676	193	28190
NM_212657	2706	226	45546
NM_199719	1526	101	25660
NM_200713	813	68	13652
NM_200919	1303	125	21864
NM_001030247	2625	140	44146
NM_173233	520	35	8726
NM_001007153	1209	362	19896
NM_194264	1218	74	20174
NM_201579	1950	225	32166
NM_001319650	804	26	13324
NM_213015	1944	1981	30238
NM_213080	2202	130	36344
NM_001020605	737	25	12146
NM_001015060	2812	170	45732
NM_001100089	1610	123	26158
NM_200766	1140	163	18432
NM_001105695	881	103	14232
NM_001127470	488	224	7686
NM_200107	1423	450	22604
NM_212632	2072	53	33428
NM_131573	742	34	11912
NM_213510	2570	106	41162
NM_001089427	2563	95	40992
NM_001079912	2214	127	35254
NM_201146	561	28	8916
NM_213277	2437	141	38420
NM_213639	1142	35	18004
NM_205580	1191	68	18702
NM_213107	1258	149	19654
NM_200027	727	42	11394
NM_214718	2014	368	31232
NM_001043323	817	265	12534
NM_173263	1471	72	22870
NM_200259	1808	201	27996
NM_182866	2633	121	40818
NM_212566	1185	64	18274
NM_200694	868	58	13316
NM_001076732	519	24	7954
NM_001045013	3195	660	48280
NM_200023	654	25	9986
NM_001002155	566	57	8598
NM_001007168	1086	126	16262
NM_199749	1558	249	23254
NM_001003447	678	49	10160
NM_198870	2196	208	32836
NM_001271817	931	58	13930
NM_001025453	1464	90	21848
NM_001013345	888	52	13232
NM_001077322	723	297	10506
NM_198806	2485	181	36912
NM_213208	687	39	10192
NM_213417	619	25	9190
NM_001003731	915	77	13466
NM_212703	3846	237	56680
NM_001003429	771	48	11296
NM_212762	435	47	6340
NM_001083577	3079	485	44658
NM_214699	1423	66	20782
NM_001115114	1300	64	18958
NM_131220	1791	170	25924
NM_173236	2213	152	32000
NM_201052	1066	14	15450
NM_131761	833	52	12016
NM_001080087	1141	154	16316
NM_200029	495	25	7104
NM_001044779	1182	94	16908
NM_201153	832	14	11948
NM_001198751	711	51	10146
NM_199761	1288	68	18346
NM_001309525	2542	191	36122
NM_001003868	590	118	8306
NM_200720	900	55	12784
NM_131376	1589	73	22584
NM_001033595	4350	219	61482
NM_199779	2398	53	33788
NM_212790	1357	106	19020
NM_198807	2455	96	34504
NM_201050	1959	114	27448
NM_131112	2386	1344	32178
NM_001002867	8579	706	119746
NM_001024429	1877	47	26292
NM_201463	1857	111	25866
NM_200030	265	1314	2388
NM_001110414	1505	151	20762
NM_200025	417	20	5770
NM_001110121	508	17	7034
NM_001302478	479	26	6598
NM_131874	1663	80	22868
NM_001002505	686	140	9318
NM_212671	1372	72	18844
NM_001007375	881	28	12098
NM_001034970	1734	449	23346
NM_201122	430	43	5840
NM_213236	1566	360	21002
NM_001024098	2200	86	29912
NM_001017858	1127	38	15292
NM_001270554	2133	103	28902
NM_199734	1635	61	22134
NM_001004601	3178	307	42834
NM_201039	867	434	11334
NM_001045049	1708	45	23136
NM_213002	1422	74	19180
NM_200096	1729	78	23298
NM_001017400	1168	79	15704
NM_001126388	3177	780	42108
NM_001024407	769	64	10300
NM_199432	2083	152	27894
NM_001037222	1931	138	25830
NM_201475	1685	415	22206
NM_001002037	2089	591	27428
NM_201203	1616	111	21542
NM_213279	889	44	11838
NM_201492	2157	173	28614
NM_001199436	4653	519	61510
NM_214721	859	43	11404
NM_200565	1411	64	18708
NM_201191	379	16	5014
NM_131599	1227	325	15922
NM_001002697	1052	113	13732
NM_001003758	1471	41	19246
NM_205760	1498	61	19570
NM_213185	1250	357	15868
NM_198210	2720	119	35148
NM_200302	1501	71	19360
NM_131512	2178	79	28086
NM_200736	1253	238	15900
NM_198142	2269	268	28946
NM_201460	2889	159	36936
NM_199588	1289	62	16468
NM_001017874	1045	54	13332
NM_001177453	903	79	11488
NM_001003995	1512	274	19084
NM_001002703	931	55	11854
NM_001159528	565	25	7182
NM_199725	632	180	7866
NM_199636	728	17	9234
NM_001025530	1320	303	16456
NM_001199737	2076	66	26248
NM_131670	1758	678	21540
NM_001002596	1471	152	18420
NM_213104	2249	408	27924
NM_001003598	838	27	10522
NM_153669	2212	100	27734
NM_001002082	950	71	11854
NM_212681	1104	126	13698
NM_001328507	1428	66	17814
NM_001131053	552	87	6804
NM_200028	466	51	5762
NM_001199675	1110	88	13718
NM_001003861	634	1163	6692
NM_001017739	862	16	10634
NM_201480	1497	56	18438
NM_213010	1631	90	20044
ENSDART00000117474	71	683	192
NM_200881	1996	82	24408
NM_001003840	1070	65	13062
NM_212993	966	30	11796
NM_001001819	490	18	5968
NM_213486	1795	77	21840
NM_001320326	2130	205	25794
NM_001005589	851	27	10350
NM_001302634	1322	85	16016
NM_001031671	1213	44	14728
NM_201298	2030	71	24632
NM_201483	2936	114	35416
NM_001017700	639	106	7608
NM_200059	1469	38	17692
NM_200182	2697	110	32318
NM_212802	2687	147	32104
NM_213722	1391	52	16596
NM_201323	1231	56	14668
NM_001002448	1520	101	18028
NM_001003618	1299	140	15326
NM_131455	2783	100	32996
NM_001002468	1022	38	12100
NM_001025503	1688	79	19948
NM_200495	1495	196	17528
NM_001076629	1060	162	12392
NM_131493	1109	52	13082
NM_001004296	3558	597	41510
NM_201315	2419	124	28428
NM_001077759	1821	168	21322
NM_001025460	2415	1573	26834
NM_001020749	1069	44	12504
ENSDART00000147450	927	106	10752
NM_001123389	4247	886	48714
NM_001105277	2672	92	31036
NM_200696	785	105	9034
NM_001007059	822	21	9542
NM_001202477	1456	272	16660
NM_213014	1822	902	20274
NM_199996	1431	121	16424
NM_213262	2403	199	27526
NM_001006082	1057	26	12166
NM_200972_2	1057	34	12152
NM_001030241	823	142	9298
NM_001290080	3280	122	37424
ENSDART00000164466	348	217	3762
NM_001089428	3015	232	34134
NM_205559	2111	149	23860
NM_001199367	1107	36	12532
NM_200975	1284	33	14540
NM_001003640	1732	44	19586
