#transcript	length	unique_read_num	multiple_read_num
NM_131263	1753	1785	563210
NM_001281721	1433	422	257806
NM_001110403	2335	1499	355650
NM_201584	658	302	98896
NM_131585	1058	668	153358
NM_183071	1312	318	179204
NM_001353934	559	148	72822
NM_212996	717	533	85340
NM_200026	515	291	60126
NM_001243178	360	119	42056
NM_130926	621	253	71366
NM_181601	1767	627	201964
NM_200458	2810	681	306104
NM_200732	483	148	51958
NM_001040321	1659	1263	177282
NM_212758	782	352	82992
NM_213302	1639	875	173528
NM_173247	1264	302	132988
NM_001130192	3149	776	318556
NM_213168	2419	529	239086
NM_200303	785	1258	76044
NM_001126457	1515	1181	147904
NM_200845	453	110	43134
NM_001309644	1435	405	132028
NM_213336	1459	339	129184
NM_130925	1985	4190	170866
NM_200815	451	131	39002
NM_200086	1012	350	85226
NM_001002078	399	90	33362
ENSDART00000153433	194	557	15600
NM_001040043	498	106	40836
NM_212584	1391	349	112482
NM_001017797	1307	1526	104262
NM_153644	800	290	64116
NM_001037424	1074	460	85484
NM_213204	482	1582	36690
NM_001003432	636	121	50052
NM_200104	1558	2268	117454
NM_001002139	610	111	46716
NM_131031	1672	423	127588
NM_173235	635	134	47618
NM_198140	1041	292	77352
NM_001002486	304	93	22480
NM_213641	1708	536	125724
NM_214793	694	270	50872
NM_131310	2699	544	194472
NM_131444	1040	678	73882
NM_200046	629	115	44518
NM_200852	722	350	50756
NM_001002106	1038	134	72082
NM_001031676	2397	1582	164578
NM_212818	1632	424	110876
NM_001105108	1254	723	84346
NM_173234	483	161	32230
NM_001001590	1354	656	90012
NM_212953	298	69	19838
NM_180964	755	121	50090
NM_001309525	2542	865	166722
NM_200752	630	210	40482
NM_001001593	537	86	34370
NM_001327928	826	89	52540
NM_001105526	393	113	24714
NM_213034	513	72	32110
NM_201318	1400	901	86318
NM_201060	620	119	37928
ENSDART00000163316	7477	2261	455744
NM_201101	887	223	53598
NM_001003844	919	109	55024
NM_200047	832	140	49482
NM_001002866	472	159	27536
NM_001098392	1870	700	108884
NM_213113	524	88	30242
NM_001100436	441	55	24996
NM_213058	2340	194	132544
NM_212833	990	470	55614
NM_214773	1667	357	93200
NM_001002069	344	117	19154
NM_200034	781	333	43272
NM_213092	1589	281	85922
NM_001002079	503	110	27066
NM_201061	504	64	27018
NM_173222	1437	197	76780
NM_001002378	887	213	47088
NM_200502	613	126	32488
NM_212587	1840	689	95776
NM_200750	463	134	23904
NM_001098730	1026	421	52780
NM_213223	1558	264	80012
NM_199481	1939	212	98262
NM_001002677	1296	371	65084
NM_201052	1066	118	52814
NM_205667	963	173	47376
NM_213317	2315	1645	111934
NM_213364	2853	383	138816
NM_212603	1499	675	72212
NM_200713	813	126	39146
NM_199430	1480	594	69946
NM_213439	1234	138	58278
NM_213377	570	94	26888
NM_001077355	1851	173	87444
NM_200029	495	52	23306
NM_131513	1495	256	69922
NM_199428	1597	284	73434
NM_214714	2273	314	104592
NM_200867	1249	493	56098
NM_201217	2259	894	101122
NM_200028	466	218	20370
NM_001004674	895	178	39220
NM_200027	727	146	31848
NM_001128336	1845	462	80576
NM_198143	657	503	27948
NM_212784	763	187	32484
NM_214696	2658	1578	111422
NM_001002527	968	208	40810
NM_201153	832	101	35088
NM_131309	1418	288	59538
NM_001002155	566	105	23764
NM_001076652	2835	446	118406
NM_001319650	804	74	33470
NM_205613	901	167	37400
NM_173233	520	86	21518
NM_213107	1258	385	51830
NM_213178	1954	355	80632
NM_001115114	1300	89	53432
NM_213019	1049	128	43024
NM_214723	1488	85	60924
NM_001110121	508	51	20772
NM_131883	2454	1296	99094
NM_001003447	678	107	27550
NM_213279	889	138	35450
NM_212762	435	94	17260
NM_173224	998	111	39664
NM_213124	1505	157	58736
NM_213208	687	86	26436
NM_001024409	1233	142	47076
NM_200765	520	133	19648
NM_212937	1764	563	66238
NM_001123007	734	83	27544
NM_201146	561	54	20952
NM_199636	728	191	26978
NM_212977	1620	195	59978
NM_001079973	1842	388	67966
NM_212675	1290	657	46964
NM_201191	379	64	13926
NM_001009889	2617	461	95046
NM_152949	1899	559	68528
NM_131580	1081	112	39102
NM_001044324	3798	916	136830
NM_001002081	568	99	20460
NM_200025	417	46	15034
NM_180965	852	118	30426
NM_199708	2037	445	72318
NM_199782	2184	616	77120
NM_173232	700	65	24812
NM_001043323	817	690	28246
NM_130948	1240	341	43444
NM_001017593	1279	1741	43336
NM_001076732	519	55	17902
NM_200059	1469	95	50622
NM_201468	1862	258	63162
NM_131098	1330	466	44798
NM_212909	1162	186	39358
NM_212708	2973	628	100194
NM_001033107	2124	380	71436
NM_001013265	1080	1054	35454
NM_173263	1471	124	49158
NM_213277	2437	281	81116
NM_001017574	1635	218	54370
NM_199724	483	43	16042
NM_130995	2082	252	69076
NM_001001819	490	72	16136
NM_199949	1010	192	33210
NM_199535	768	123	25208
NM_131176	1454	210	47466
NM_001005589	851	96	27760
NM_131025	4186	309	136704
NM_001001399	1042	64	33960
NM_001161599	1896	1165	60578
NM_201477	1088	95	35044
NM_212932	1336	297	42744
NM_173251	890	78	28524
NM_001077535	2030	247	64946
ENSDART00000117474	71	1301	978
NM_001003861	634	2587	17558
NM_213015	1944	2370	58934
NM_213466	1532	249	47754
NM_001159528	565	77	17502
NM_198809	1593	91	49170
NM_213013	986	94	30324
NM_001089544	1215	47	37384
NM_131247	1497	1146	44392
NM_200298	785	102	23672
NM_001089351	631	293	18806
NM_200949	1869	229	55640
NM_213510	2570	216	76464
NM_130941	4366	532	129622
NM_182866	2633	355	77088
NM_131404	1466	146	42878
NM_199956	2049	318	59722
NM_213493	1980	453	57438
NM_001077804	1835	160	53486
NM_131335	1226	60	35774
NM_201336	2817	257	82032
NM_201122	430	129	12358
NM_001045349	1628	168	46782
NM_212952	393	78	11024
NM_001008615	943	174	26460
NM_200030	265	2241	5238
ENSDART00000177307	3533	6926	92688
NM_198366	2668	517	74512
NM_205562	1110	134	30972
NM_199546	1638	227	45632
NM_213028	696	50	19418
NM_001003869	1684	178	46836
NM_001256190	1048	131	29122
NM_199771	1782	223	49464
NM_178437	1742	384	48142
NM_205673	1403	301	38510
NM_001013533	2369	399	64866
NM_130922	2069	123	56778
NM_131112	2386	2593	62782
NM_213351	1541	96	41904
