#transcript	length	unique_read_num	multiple_read_num
NM_131263	1753	1573	459840
NM_001353934	559	168	91950
NM_001281721	1433	475	232058
NM_183071	1312	473	202018
NM_001110403	2335	1158	333924
NM_131585	1058	711	143968
NM_201584	658	282	89132
NM_130926	621	272	67072
NM_213302	1639	1028	176586
NM_212758	782	362	83678
NM_213336	1459	353	155092
NM_181601	1767	632	179776
NM_200026	515	247	51778
NM_001243178	360	111	35406
NM_200303	785	1367	74030
NM_212996	717	562	68078
NM_173247	1264	327	120310
NM_200845	453	148	42828
NM_001040321	1659	1395	155074
NM_200458	2810	592	247174
NM_001130192	3149	928	271436
ENSDART00000153433	194	550	16220
NM_200732	483	151	41054
NM_001037424	1074	575	90584
NM_213168	2419	567	203024
NM_001126457	1515	1163	121762
NM_131031	1672	483	133130
NM_130925	1985	5262	152342
NM_001309644	1435	449	110386
NM_180964	755	150	56718
NM_001017797	1307	1810	96498
NM_213641	1708	545	127846
NM_200104	1558	3015	113616
NM_200086	1012	428	75128
NM_212584	1391	405	103224
NM_153644	800	297	57300
NM_212818	1632	578	112668
NM_001003432	636	130	43004
NM_131310	2699	595	182396
NM_001040043	498	114	32664
NM_001002106	1038	140	66938
NM_173235	635	106	40794
NM_001105108	1254	749	80004
NM_214773	1667	364	105210
NM_213439	1234	182	77452
NM_198140	1041	280	64868
NM_001327928	826	103	51314
NM_201318	1400	694	86258
NM_173234	483	182	29814
NM_201101	887	276	54662
NM_200815	451	90	27696
NM_213364	2853	552	173228
NM_200852	722	238	43258
NM_001309525	2542	1109	149034
NM_131444	1040	642	60746
NM_001002139	610	78	35500
NM_213204	482	1224	26476
NM_001002486	304	77	17354
ENSDART00000117474	71	2638	1414
NM_001002078	399	69	22344
NM_212833	990	659	54412
NM_001003844	919	124	50548
NM_001031676	2397	1579	125964
NM_200046	629	126	33070
NM_001105526	393	82	20654
NM_001098392	1870	780	97688
NM_212587	1840	917	94470
NM_213034	513	70	26210
NM_001017593	1279	1627	63388
NM_213058	2340	201	117976
NM_213223	1558	304	78282
NM_001128336	1845	498	92260
NM_001002677	1296	497	64370
NM_199430	1480	653	72400
NM_199481	1939	272	95190
NM_200752	630	169	30840
NM_201060	620	94	30420
NM_212953	298	61	14596
NM_001002378	887	223	43354
NM_213113	524	88	25388
NM_001100436	441	48	21288
NM_173224	998	136	47928
NM_001001590	1354	467	64374
NM_214793	694	218	32422
NM_200047	832	165	38778
NM_199782	2184	888	100732
NM_213092	1589	246	73316
NM_213317	2315	1945	103046
NM_001098730	1026	551	45900
NM_131883	2454	721	110230
NM_200502	613	98	27186
NM_131513	1495	308	65822
NM_214696	2658	1810	115608
ENSDART00000163316	7477	2013	327462
NM_213019	1049	154	45986
NM_001115114	1300	108	56824
NM_001002866	472	109	20278
NM_200034	781	381	33036
NM_214714	2273	391	96390
NM_001001593	537	78	22680
NM_001002079	503	108	21196
NM_173222	1437	181	60586
NM_213178	1954	411	81624
NM_205667	963	174	40184
ENSDART00000176179	244	10127	38
NM_212603	1499	719	61720
NM_130948	1240	284	51362
NM_001002527	968	214	39808
NM_001076652	2835	533	115694
NM_001004674	895	192	36400
NM_001002069	344	80	13906
NM_201477	1088	174	43936
NM_001009889	2617	694	104970
NM_205613	901	287	35908
NM_201061	504	63	20128
NM_200713	813	130	32404
NM_180965	852	186	33738
NM_200750	463	118	18224
NM_212708	2973	799	115716
NM_199428	1597	323	62112
NM_001077355	1851	203	71628
NM_212909	1162	281	44776
NM_212932	1336	529	51058
NM_001024409	1233	88	46820
NM_212937	1764	716	66008
NM_001123007	734	111	27222
NM_001013533	2369	708	85718
NM_152949	1899	608	68576
NM_201217	2259	861	81326
NM_001013265	1080	1179	37788
NM_213377	570	91	20436
NM_001002081	568	95	20330
NM_200949	1869	272	66532
NM_001044324	3798	1072	134402
NM_212675	1290	738	45276
NM_200867	1249	483	43970
NM_212977	1620	215	57294
NM_213124	1505	167	53226
NM_213180	1506	92	52628
NM_200027	727	128	25300
